malha_termica,metodo_quadratura,nsub,T_aresta_min,T_aresta_media,T_aresta_max,pressao_max,pressao_min,potencia_total,tempo_montagem_termica,tempo_solucao_termica,tempo_quadratura,tempo_hidraulico
61x31,ponto_medio,1,11.264400849601795,44.02314438951208,62.11083567124949,2606.5438264614213,0.0,0.00277719423884813,0.00720349996117875,0.02810019999742508,0.017063199949916452,0.0028593000024557114
61x31,ponto_medio,10,11.242566965815838,43.94081476123033,61.82224224549542,2634.3902080826056,0.0,0.0028079471735210164,0.00720349996117875,0.02810019999742508,0.014300099981483072,0.0011715000146068633
61x31,ponto_medio,100,11.242281807309434,43.93989711519068,61.81989248490948,2634.7787728790986,0.0,0.0028083757985283456,0.00720349996117875,0.02810019999742508,0.019070199981797487,0.0009888000204227865
61x31,ponto_medio,1000,11.242281586358244,43.93989125620792,61.81987470732946,2634.7846117037884,0.0,0.0028083822559524458,0.00720349996117875,0.02810019999742508,0.032751599967014045,0.0009493000106886029
61x31,trapezio,1,11.194992701940123,43.770415791588306,61.33949926380072,2700.7865463656394,0.0,0.0028812689715946764,0.00720349996117875,0.02810019999742508,0.015523800044320524,0.001019099960103631
61x31,trapezio,10,11.241740037506679,43.93813766601231,61.81541500970072,2635.4837828912205,0.0,0.00280915368499,0.00720349996117875,0.02810019999742508,0.015845099987927824,0.0009812999633140862
61x31,trapezio,100,11.242279240994645,43.939878510932225,61.819837878654546,2634.7906869138487,0.0,0.002808388958042079,0.00720349996117875,0.02810019999742508,0.019176999980118126,0.0009629999985918403
61x31,trapezio,1000,11.242281544692016,43.93989108266567,61.81987407430759,2634.7846181960185,0.0,0.0028083822626889365,0.00720349996117875,0.02810019999742508,0.03781800001161173,0.000952000031247735
241x121,ponto_medio,1,11.31460045547794,43.99293810956635,61.983800982273344,2614.019043278472,0.0,0.0027855214611043387,0.18837509996956214,5.652935300022364,0.016316100023686886,0.00104750000173226
241x121,ponto_medio,10,11.29203629124665,43.91279655822037,61.73341622799361,2639.395204503569,0.0,0.002813568722415903,0.18837509996956214,5.652935300022364,0.015512099955230951,0.000956700008828193
241x121,ponto_medio,100,11.291802625854443,43.91197618656899,61.73090653621116,2639.835746225438,0.0,0.002814054532210906,0.18837509996956214,5.652935300022364,0.019833600032143295,0.0009853000519797206
241x121,ponto_medio,1000,11.291800503357367,43.91196829814433,61.73088222440608,2639.8392449086905,0.0,0.0028140583963384633,0.18837509996956214,5.652935300022364,0.03234739997424185,0.0009477999992668629
241x121,trapezio,1,11.24529371809219,43.7487686565252,61.22588018940256,2702.8480044575363,0.0,0.002883667184064938,0.18837509996956214,5.652935300022364,0.01520259998505935,0.0009848999907262623
241x121,trapezio,10,11.291318385497975,43.91030807565945,61.725887009635805,2640.732000658939,0.0,0.002815043144076304,0.18837509996956214,5.652935300022364,0.01778049999848008,0.0009392999927513301
241x121,trapezio,100,11.291795779655697,43.911951573480685,61.730831942121036,2639.8470472912977,0.0,0.0028140670078436137,0.18837509996956214,5.652935300022364,0.018387500022072345,0.0009465999901294708
241x121,trapezio,1000,11.291800432507044,43.91196806279752,61.730881502124014,2639.8393760599924,0.0,0.002814058541043115,0.18837509996956214,5.652935300022364,0.04098770004929975,0.0009858999983407557
