t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,4817.4046152644105,1.3342622253553997e-06,9.385529565275109e-08,9.385529565275113e-08,1.7689985014309812e-12,0.006671311126776999
0.025,4650.506882257558,2.553818464255435e-06,2.7808024148501396e-07,2.7808024148501396e-07,5.154915415170543e-12,0.012769092321277176
0.05,4498.651633561263,3.6634561604709566e-06,5.494909502633167e-07,5.494909502633167e-07,1.0012017965761755e-11,0.01831728080235478
0.07500000000000001,4360.860349414718,4.67032556018918e-06,9.051854764256207e-07,9.051854764256207e-07,1.6204053354434187e-11,0.0233516278009459
0.1,4236.190594147229,5.581313235692015e-06,1.3425247519401172e-06,1.3425247519401172e-06,2.360389917359179e-11,0.027906566178460074
0.125,4123.775740354297,6.402751812587372e-06,1.8591150466392004e-06,1.8591150466392004e-06,3.20928289703449e-11,0.03201375906293686
0.15000000000000002,4022.813846645804,7.140501242403354e-06,2.4527917325173945e-06,2.4527917325173945e-06,4.155988556329686e-11,0.035702506212016774
0.17500000000000002,3932.5589750857616,7.800012247849942e-06,3.121604179489297e-06,3.121604179489297e-06,5.19013384766584e-11,0.03900006123924971
0.2,3852.316427428586,8.38636113262796e-06,3.863801686587741e-06,3.863801686587741e-06,6.302018752608439e-11,0.041931805663139796
0.225,3781.4391319380256,8.904276183686807e-06,4.677820374204202e-06,4.677820374204202e-06,7.482570140928967e-11,0.044521380918434036
0.25,3719.3242990379913,9.358162109077961e-06,5.562270965147167e-06,5.562270965147167e-06,8.723298869698723e-11,0.046790810545389805
0.275,3665.410276345473,9.752123018877338e-06,6.515927377145069e-06,6.515927377145069e-06,1.0016259929251271e-10,0.048760615094386686
0.30000000000000004,3619.1736289675496,1.0089983760061156e-05,7.537716030267229e-06,7.537716030267229e-06,1.135401541777653e-10,0.05044991880030578
0.325,3580.126437357081,1.0375309661630418e-05,8.626705721378283e-06,8.626705721378283e-06,1.272960013377325e-10,0.051876548308152096
0.35000000000000003,3547.813789614251,1.06114248588845e-05,9.782097801478988e-06,9.782097801478988e-06,1.4136489597979888e-10,0.053057124294422504
0.375,3521.8114464789196,1.0801429355802616e-05,1.10032161571798e-05,1.10032161571798e-05,1.5568570337479038e-10,0.054007146779013075
0.4,3501.7236623670024,1.0948214947182374e-05,1.2289496066983461e-05,1.2289496066983461e-05,1.7020112280799145e-10,0.05474107473591187
0.42500000000000004,3487.1811499631813,1.105448009178197e-05,1.3640470280319617e-05,1.3640470280319617e-05,1.8485743124934904e-10,0.055272400458909854
0.45,3477.839178483749,1.1122743808706865e-05,1.505574955949729e-05,1.505574955949729e-05,1.996042454478565e-10,0.05561371904353433
0.47500000000000003,3473.375797146,1.1155358658885027e-05,1.653499338629011e-05,1.653499338629011e-05,2.1439430123710464e-10,0.055776793294425135
0.5,3473.4901760819143,1.115452286835379e-05,1.80778646325854e-05,1.80778646325854e-05,2.2918324891419225e-10,0.055772614341768945
0.525,3477.901057247508,1.1122291647787575e-05,1.968395998163248e-05,1.968395998163248e-05,2.439294636263518e-10,0.05561145823893787
0.55,3486.3453080206023,1.1060587761655263e-05,2.1352706258017484e-05,2.1352706258017484e-05,2.5859386977043066e-10,0.05530293880827632
0.5750000000000001,3498.576570294084,1.0971211399577387e-05,2.308321231666523e-05,2.308321231666523e-05,2.731397784800663e-10,0.05485605699788693
0.6000000000000001,3514.363998044905,1.0855849401167736e-05,2.4874067636797794e-05,2.4874067636797794e-05,2.875327373433893e-10,0.05427924700583868
0.625,3533.491076648492,1.0716083883550002e-05,2.672308309052367e-05,2.672308309052367e-05,3.0174039155930573e-10,0.05358041941775001
0.65,3555.7545175996333,1.055340031785868e-05,2.8626976978848492e-05,2.8626976978848492e-05,3.1573235580180726e-10,0.0527670015892934
0.675,3580.9632227628877,1.0369195097676314e-05,3.058102015075872e-05,3.058102015075872e-05,3.2948009611870707e-10,0.051845975488381574
0.7000000000000001,3608.9373127395147,1.0164782638957463e-05,3.257866673955514e-05,3.257866673955514e-05,3.4295682124363356e-10,0.05082391319478732
0.7250000000000001,3639.5072143585353,9.941402047919068e-06,3.4611209721698617e-05,3.4611209721698617e-05,3.5613738274848117e-10,0.04970701023959534
0.75,3672.5128026459033,9.700223390850423e-06,3.666751038958813e-05,3.666751038958813e-05,3.6899818350853374e-10,0.04850111695425211
0.775,3707.8025928913844,9.44235359784597e-06,3.8733855026453634e-05,3.8733855026453634e-05,3.8151709399490517e-10,0.04721176798922985
0.8,3745.2329786346313,9.168842031000667e-06,4.0793988222882554e-05,4.0793988222882554e-05,3.9367337594943417e-10,0.04584421015500333
0.8250000000000001,3784.6675115424746,8.880685746494121e-06,4.28293592959727e-05,4.28293592959727e-05,4.05447613036183e-10,0.04440342873247061
0.8500000000000001,3825.9762192706908,8.578834479114847e-06,4.481959686421372e-05,4.481959686421372e-05,4.168216481015438e-10,0.042894172395574234
0.875,3869.034957497346,8.26419537708843e-06,4.6743199398029795e-05,4.6743199398029795e-05,4.277785267118996e-10,0.04132097688544215
0.9,3913.7247923803925,7.937637514587384e-06,4.8578400653994764e-05,4.8578400653994764e-05,4.3830244667408484e-10,0.03968818757293692
0.925,3959.9314097226197,7.599996209083145e-06,5.030414321081981e-05,5.030414321081981e-05,4.483787132799e-10,0.03799998104541572
0.9500000000000001,4007.5445471072285,7.252077170849788e-06,5.1901075480718196e-05,5.1901075480718196e-05,4.579937000521426e-10,0.03626038585424894
0.9750000000000001,4056.457445180768,6.894660512555101e-06,5.33524809044585e-05,5.33524809044585e-05,4.671348148066554e-10,0.034473302562775504
1.0,4106.566314093196,6.528504648090313e-06,5.464505386641493e-05,5.464505386641493e-05,4.757904708835414e-10,0.03264252324045157
1.0250000000000001,4157.769810845889,6.154350111696979e-06,5.5769454217676764e-05,5.5769454217676764e-05,4.839500634418735e-10,0.030771750558484898
1.05,4209.9685229304205,5.772923331127022e-06,5.6720598173108606e-05,5.6720598173108606e-05,4.916039507569547e-10,0.02886461665563511
1.075,4263.064453164131,5.384940392053265e-06,5.7497673414560757e-05,5.7497673414560757e-05,4.987434405085288e-10,0.026924701960266324
1.1,4316.960500050352,4.991110835186822e-06,5.81038957379923e-05,5.81038957379923e-05,5.053607811033056e-10,0.024955554175934112
1.125,4371.55992732922,4.59214153237699e-06,5.854604929818809e-05,5.854604929818809e-05,5.114491581365158e-10,0.02296070766188495
1.1500000000000001,4426.76581569884,4.1887406929991135e-06,5.8833869446169395e-05,5.8833869446169395e-05,5.170026961652378e-10,0.020943703464995567
1.175,4482.480489055417,3.781622056537377e-06,5.897933496143401e-05,5.897933496143401e-05,5.220164660403545e-10,0.018908110282686887
1.2000000000000002,4538.604907164351,3.371509330461329e-06,5.899593542357383e-05,5.899593542357383e-05,5.264864981223599e-10,0.016857546652306644
1.225,4595.038016620513,2.9591409328928142e-06,5.889797113314446e-05,5.889797113314446e-05,5.304098017851134e-10,0.01479570466446407
1.25,4651.676052532452,2.545275095346892e-06,5.869992977862345e-05,5.869992977862345e-05,5.337843916849354e-10,0.01272637547673446
1.2750000000000001,4708.411784873659,2.1306953697945874e-06,5.841596860545878e-05,5.841596860545878e-05,5.366093213311063e-10,0.010653476848972937
1.3,4765.133706231809,1.7162165639508218e-06,5.805951558897399e-05,5.805951558897399e-05,5.388847245255207e-10,0.008581082819754109
