t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,9859.967773902434,5.180174905808868e-06,7.664775778454558e-07,7.664775778454558e-07,1.3736013013611885e-11,0.05180174905808868
0.05,9736.814881195014,9.735937119686402e-06,2.286045640884539e-06,2.286045640884539e-06,3.955231485812218e-11,0.09735937119686401
0.1,9629.770738709363,1.3695792619887039e-05,4.546633174323051e-06,4.546633174323051e-06,7.586876924029767e-11,0.1369579261988704
0.15000000000000002,9537.942517584594,1.7092769587060404e-05,7.5373953162969846e-06,7.5373953162969846e-06,1.2119281905630867e-10,0.17092769587060405
0.2,9460.481187332427,1.9958275980306585e-05,1.1248582222141899e-05,1.1248582222141899e-05,1.7411519013056133e-10,0.19958275980306586
0.25,9396.577714664716,2.2322240152929394e-05,1.567127340210562e-05,1.567127340210562e-05,2.3330596781835263e-10,0.22322240152929393
0.30000000000000004,9345.457305897313,2.421332384167112e-05,2.0796771210162567e-05,2.0796771210162567e-05,2.9751123838152097e-10,0.2421332384167112
0.35000000000000003,9306.376195143781,2.565904098020438e-05,2.6615286590902457e-05,2.6615286590902457e-05,3.655500454159436e-10,0.2565904098020438
0.4,9278.618931889396,2.668585803918905e-05,3.3113399670463174e-05,3.3113399670463174e-05,4.363116123457891e-10,0.2668585803918905
0.45,9261.495772432892,2.731929052395695e-05,4.0269758159588567e-05,4.0269758159588567e-05,5.087528207958966e-10,0.2731929052395695
0.5,9254.340116066123,2.758399781726244e-05,4.804873212568019e-05,4.804873212568019e-05,5.818959404539761e-10,0.2758399781726244
0.55,9256.505959138321,2.7503877360384326e-05,5.639235110389047e-05,5.639235110389047e-05,6.54826608668167e-10,0.27503877360384327
0.6000000000000001,9267.365344528449,2.710215900412987e-05,6.521171836038037e-05,6.521171836038037e-05,7.266920602304781e-10,0.27102159004129867
0.65,9286.305780005285,2.6401500510749918e-05,7.437993752453201e-05,7.437993752453201e-05,7.966996103979208e-10,0.2640150051074992
0.7000000000000001,9312.72758941782,2.5424085540645757e-05,8.372899706343578e-05,8.372899706343578e-05,8.641153977401363e-10,0.2542408554064576
0.75,9346.041148204093,2.4191725918457417e-05,9.305271254247228e-05,9.305271254247228e-05,9.282633981609398e-10,0.24191725918457418
0.8,9385.663940070022,2.272597051456511e-05,0.00010211666757467975,0.00010211666757467975,9.885247276355443e-10,0.22725970514565108
