t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,4923.447746279173,1.365681504062972e-06,9.592128558056365e-08,9.592128558056365e-08,1.8106549733699459e-12,0.00682840752031486
0.025,4851.514096809839,2.6489677539865077e-06,2.861232010757044e-07,2.861232010757044e-07,5.3227232145981166e-12,0.013244838769932538
0.05,4784.503818162646,3.844421756749396e-06,5.690651020169418e-07,5.690651020169418e-07,1.0419754515732988e-11,0.01922210878374698
0.07500000000000001,4722.358644220846,4.9530829717292465e-06,9.433049705563258e-07,9.433049705563258e-07,1.6986676810275553e-11,0.024765414858646233
0.1,4664.893282475617,5.97825699137899e-06,1.4074955595428106e-06,1.4074955595428106e-06,2.49128006695505e-11,0.02989128495689495
0.125,4611.904738122886,6.9235652146226695e-06,1.9603802013151915e-06,1.9603802013151915e-06,3.4092238006888594e-11,0.034617826073113346
0.15000000000000002,4563.205223794436,7.792357741857196e-06,2.6007889231582252e-06,2.6007889231582252e-06,4.4423542383198685e-11,0.03896178870928598
0.17500000000000002,4518.623543981684,8.587688677020675e-06,3.327634895398949e-06,3.327634895398949e-06,5.5809316567399156e-11,0.04293844338510337
0.2,4477.999462436233,9.312416612383892e-06,4.139911100724032e-06,4.139911100724032e-06,6.815595332211961e-11,0.04656208306191946
0.225,4441.179660766025,9.969276726626037e-06,5.0366871426137395e-06,5.0366871426137395e-06,8.13734717788493e-11,0.04984638363313019
0.25,4408.016216962223,1.0560907927705061e-05,6.017106154500501e-06,6.017106154500501e-06,9.537538979978746e-11,0.05280453963852531
0.275,4378.3664001080415,1.108985651522144e-05,7.0803817825497415e-06,7.0803817825497415e-06,1.1007860119534789e-10,0.0554492825761072
0.30000000000000004,4352.092756484172,1.1558574644311538e-05,8.225795186519438e-06,8.225795186519438e-06,1.254032509050546e-10,0.05779287322155769
0.325,4329.063069736608,1.1969421036246901e-05,9.452691926470835e-06,9.452691926470835e-06,1.4127261112056792e-10,0.059847105181234504
