t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,4979.874675558124,1.3792610746349962e-06,9.702062569276267e-08,9.70206256927627e-08,1.82865911043947e-12,0.006896305373174981
0.025,4960.859128642838,2.6824650924711144e-06,2.9044945915816673e-07,2.9044945915816673e-07,5.385138967656704e-12,0.013412325462355571
0.05,4942.9712737953205,3.908384305391526e-06,5.796975800127412e-07,5.796975800127412e-07,1.0566973428579371e-11,0.019541921526957627
0.07500000000000001,4926.18721779635,5.0586562019015025e-06,9.641990413115506e-07,9.641990413115506e-07,1.7273867373684256e-11,0.025293281009507514
0.1,4910.479872237945,6.1351372482990276e-06,1.4434102845060262e-06,1.4434102845060262e-06,2.5407987033276288e-11,0.030675686241495137
0.125,4895.8237779460305,7.139572253620243e-06,2.016809587598035e-06,2.016809587598035e-06,3.48738119494754e-11,0.03569786126810121
0.15000000000000002,4882.194421479449,8.073641212396707e-06,2.6838965330704827e-06,2.6838965330704827e-06,4.5578049043512076e-11,0.04036820606198353
0.17500000000000002,4869.5677444105595,8.938992935453875e-06,3.444191485886964e-06,3.444191485886964e-06,5.742959127158347e-11,0.044694964677269376
0.2,4857.920033285597,9.737252591317036e-06,4.297235078986734e-06,4.297235078986734e-06,7.033948627929576e-11,0.04868626295658518
0.225,4847.227904028685,1.0470022775045435e-05,5.242587704466797e-06,5.242587704466797e-06,8.422090647319368e-11,0.05235011387522717
0.25,4837.468288916153,1.1138884400944991e-05,6.279829005294213e-06,6.279829005294213e-06,9.898912027587104e-11,0.05569442200472496
0.275,4828.618420312977,1.1745397817169626e-05,7.408557352671716e-06,7.408557352671716e-06,1.1456146485884789e-10,0.058726989085848134
0.30000000000000004,4820.655815716471,1.2291103830719535e-05,8.628389269277082e-06,8.628389269277082e-06,1.3085732023441614e-10,0.061455519153597676
0.325,4813.558265004639,1.277752458136264e-05,9.93895869985781e-06,9.93895869985781e-06,1.477980845061524e-10,0.0638876229068132
0.35000000000000003,4807.3038189602785,1.320616432812554e-05,1.1339915903582846e-05,1.1339915903582846e-05,1.6530715016218012e-10,0.0660308216406277
0.375,4801.87077811717,1.3578510213695877e-05,1.2830925489911769e-05,1.2830925489911769e-05,1.8330988138189604e-10,0.06789255106847938
0.4,4797.237681390516,1.38960330436252e-05,1.44116626576715e-05,1.44116626576715e-05,2.0173359237578302e-10,0.069480165218126
0.42500000000000004,4793.383294299817,1.4160188093452333e-05,1.6081805920216952e-05,1.6081805920216952e-05,2.205075267953277e-10,0.07080094046726167
0.45,4790.286596793531,1.437241594312587e-05,1.7841023403430897e-05,1.7841023403430897e-05,2.3956283824923634e-10,0.07186207971562934
0.47500000000000003,4787.926770770091,1.4534143332235271e-05,1.9688948129764907e-05,1.9688948129764907e-05,2.5883257195353787e-10,0.07267071666117636
0.5,4786.283187403912,1.4646784028610723e-05,2.162513560793018e-05,2.162513560793018e-05,2.782516475332981e-10,0.07323392014305362
0.525,4785.335394359437,1.4711739704570796e-05,2.3648994787178093e-05,2.3648994787178093e-05,2.977568429860857e-10,0.07355869852285397
0.55,4785.0631029354345,1.4730400817993873e-05,2.575968151905851e-05,2.575968151905851e-05,3.172867798135845e-10,0.07365200408996937
0.5750000000000001,4785.446175135074,1.4704147498438127e-05,2.7955942874830542e-05,2.7955942874830542e-05,3.36781909328046e-10,0.07352073749219064
0.6000000000000001,4786.46461062325,1.4634350441010802e-05,3.0235901944423893e-05,3.0235901944423893e-05,3.561845001438568e-10,0.07317175220505401
0.625,4788.098533509273,1.452237181218581e-05,3.259677700987276e-05,3.259677700987276e-05,3.7543862687006105e-10,0.07261185906092904
0.65,4790.328178887342,1.4369566172255225e-05,3.50345368164879e-05,3.50345368164879e-05,3.944901600258932e-10,0.07184783086127612
0.675,4793.133879068858,1.4177281418853378e-05,3.754350494893742e-05,3.754350494893742e-05,4.132867572072581e-10,0.07088640709426688
0.7000000000000001,4796.496049451183,1.3946859755442902e-05,4.011593999975919e-05,4.011593999975919e-05,4.317778555372545e-10,0.06973429877721452
0.7250000000000001,4800.395173971459,1.3679638688201155e-05,4.2741632226105984e-05,4.2741632226105984e-05,4.4991466543839616e-10,0.06839819344100577
0.75,4804.81179009776,1.3376952054645695e-05,4.540756887199211e-05,4.540756887199211e-05,4.676501657686099e-10,0.06688476027322847
0.775,4809.726473303213,1.3040131087662972e-05,4.809772617402119e-05,4.809772617402119e-05,4.849391003679499e-10,0.06520065543831487
0.8,4815.119820960332,1.2670505519297818e-05,5.079304363476075e-05,5.079304363476075e-05,5.017379760687444e-10,0.06335252759648909
0.8250000000000001,4820.972435577581,1.2269404729609933e-05,5.347162405638437e-05,5.347162405638437e-05,5.180050622289247e-10,0.06134702364804966
0.8500000000000001,4827.26490728488,1.1838158947010843e-05,5.6109181520654886e-05,5.6109181520654886e-05,5.337003918567914e-10,0.05919079473505422
0.875,4833.977795456171,1.1378100507719652e-05,5.867973142966861e-05,5.867973142966861e-05,5.487857644055988e-10,0.05689050253859826
