t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,19269.618461057642,5.337048901421599e-06,3.7542118261100437e-07,3.754211826110045e-07,7.075994005723925e-12,0.10674097802843198
0.025,18602.02752903023,1.021527385702174e-05,1.1123209659400559e-06,1.1123209659400559e-06,2.061966166068217e-11,0.20430547714043482
0.05,17994.606534245053,1.4653824641883826e-05,2.1979638010532668e-06,2.1979638010532668e-06,4.004807186304702e-11,0.2930764928376765
0.07500000000000001,17443.441397658873,1.868130224075672e-05,3.6207419057024827e-06,3.6207419057024827e-06,6.481621341773675e-11,0.3736260448151344
0.1,16944.762376588915,2.232525294276806e-05,5.370099007760469e-06,5.370099007760469e-06,9.441559669436716e-11,0.4465050588553612
0.125,16495.10296141719,2.5611007250349487e-05,7.436460186556801e-06,7.436460186556801e-06,1.283713158813796e-10,0.5122201450069898
0.15000000000000002,16091.255386583216,2.8562004969613417e-05,9.811166930069578e-06,9.811166930069578e-06,1.6623954225318744e-10,0.5712400993922684
0.17500000000000002,15730.235900343047,3.120004899139977e-05,1.2486416717957188e-05,1.2486416717957188e-05,2.076053539066336e-10,0.6240009798279954
0.2,15409.265709714344,3.354544453051184e-05,1.5455206746350963e-05,1.5455206746350963e-05,2.5208075010433757e-10,0.6709088906102367
0.225,15125.756527752103,3.561710473474723e-05,1.8711281496816807e-05,1.8711281496816807e-05,2.993028056371587e-10,0.7123420946949446
0.25,14877.297196151965,3.7432648436311844e-05,2.2249083860588666e-05,2.2249083860588666e-05,3.489319547879489e-10,0.7486529687262369
0.275,14661.641105381892,3.900849207550935e-05,2.6063709508580276e-05,2.6063709508580276e-05,4.0065039717005086e-10,0.780169841510187
0.30000000000000004,14476.694515870198,4.0359935040244624e-05,3.0150864121068917e-05,3.0150864121068917e-05,4.541606167110612e-10,0.8071987008048925
0.325,14320.505749428325,4.1501238646521674e-05,3.450682288551313e-05,3.450682288551313e-05,5.0918400535093e-10,0.8300247729304335
0.35000000000000003,14191.255158457005,4.2445699435538e-05,3.912839120591595e-05,3.912839120591595e-05,5.654595839191955e-10,0.8489139887107601
0.375,14087.245785915678,4.320571742321046e-05,4.40128646287192e-05,4.40128646287192e-05,6.227428134991615e-10,0.8641143484642092
0.4,14006.89464946801,4.3792859788729494e-05,4.9157984267933844e-05,4.9157984267933844e-05,6.808044912319658e-10,0.8758571957745899
0.42500000000000004,13948.724599852725,4.421792036712788e-05,5.456188112127847e-05,5.456188112127847e-05,7.394297249973962e-10,0.8843584073425577
0.45,13911.356713934996,4.449097523482746e-05,6.022299823798916e-05,6.022299823798916e-05,7.98416981791426e-10,0.8898195046965492
0.47500000000000003,13893.503188584,4.462143463554011e-05,6.613997354516043e-05,6.613997354516043e-05,8.575772049484186e-10,0.8924286927108022
0.5,13893.960704327657,4.461809147341516e-05,7.23114585303416e-05,7.23114585303416e-05,9.16732995656769e-10,0.8923618294683031
0.525,13911.604228990032,4.44891665911503e-05,7.873583992652992e-05,7.873583992652992e-05,9.757178545054073e-10,0.889783331823006
0.55,13945.381232082409,4.4242351046621054e-05,8.541082503206994e-05,8.541082503206994e-05,1.0343754790817226e-09,0.8848470209324211
0.5750000000000001,13994.306281176336,4.388484559830955e-05,9.233284926666093e-05,9.233284926666093e-05,1.0925591139202651e-09,0.8776969119661909
0.6000000000000001,14057.45599217962,4.342339760467094e-05,9.949627054719117e-05,9.949627054719117e-05,1.1501309493735572e-09,0.8684679520934189
0.625,14133.964306593967,4.286433553420001e-05,0.00010689233236209468,0.00010689233236209468,1.206961566237223e-09,0.8572867106840002
0.65,14223.018070398533,4.221360127143472e-05,0.00011450790791539397,0.00011450790791539397,1.262929423207229e-09,0.8442720254286944
0.675,14323.85289105155,4.147678039070526e-05,0.00012232408060303487,0.00012232408060303487,1.3179203844748283e-09,0.8295356078141052
0.7000000000000001,14435.749250958059,4.065913055582985e-05,0.00013031466695822056,0.00013031466695822056,1.3718272849745342e-09,0.8131826111165971
0.7250000000000001,14558.028857434141,3.976560819167627e-05,0.00013844483888679447,0.00013844483888679447,1.4245495309939247e-09,0.7953121638335254
0.75,14690.051210583613,3.880089356340169e-05,0.00014667004155835252,0.00014667004155835252,1.475992734034135e-09,0.7760178712680338
0.775,14831.210371565538,3.776941439138388e-05,0.00015493542010581454,0.00015493542010581454,1.5260683759796207e-09,0.7553882878276776
0.8,14980.931914538525,3.6675368124002666e-05,0.00016317595289153022,0.00016317595289153022,1.5746935037977367e-09,0.7335073624800533
0.8250000000000001,15138.670046169898,3.5522742985976484e-05,0.0001713174371838908,0.0001713174371838908,1.621790452144732e-09,0.7104548597195297
0.8500000000000001,15303.904877082763,3.431533791645939e-05,0.00017927838745685488,0.00017927838745685488,1.6672865924061752e-09,0.6863067583291877
0.875,15476.139829989384,3.305678150835372e-05,0.00018697279759211918,0.00018697279759211918,1.7111141068475984e-09,0.6611356301670744
0.9,15654.89916952157,3.1750550058349535e-05,0.00019431360261597906,0.00019431360261597906,1.7532097866963394e-09,0.6350110011669907
0.925,15839.725638890479,3.039998483633258e-05,0.00020121657284327923,0.00020121657284327923,1.7935148531196e-09,0.6079996967266516
0.9500000000000001,16030.178188428914,2.900830868339915e-05,0.00020760430192287278,0.00020760430192287278,1.8319748002085704e-09,0.5801661736679831
0.9750000000000001,16225.829780723072,2.7578642050220403e-05,0.000213409923617834,0.000213409923617834,1.8685392592266215e-09,0.5515728410044081
1.0,16426.265256372782,2.6114018592361253e-05,0.00021858021546565973,0.00021858021546565973,1.9031618835341655e-09,0.5222803718472251
1.0250000000000001,16631.079243383556,2.4617400446787917e-05,0.00022307781687070706,0.00022307781687070706,1.935800253767494e-09,0.49234800893575836
1.05,16839.874091721682,2.309169332450809e-05,0.00022688239269243442,0.00022688239269243442,1.9664158030278188e-09,0.4618338664901618
1.075,17052.257812656524,2.153976156821306e-05,0.00022999069365824303,0.00022999069365824303,1.9949737620341153e-09,0.4307952313642612
1.1,17267.842000201406,1.996444334074729e-05,0.0002324155829519692,0.0002324155829519692,2.0214431244132222e-09,0.3992888668149458
1.125,17486.23970931688,1.836856612950796e-05,0.00023418419719275235,0.00023418419719275235,2.0457966325460634e-09,0.3673713225901592
1.1500000000000001,17707.06326279536,1.6754962771996454e-05,0.00023533547778467758,0.00023533547778467758,2.0680107846609513e-09,0.3350992554399291
1.175,17929.921956221668,1.5126488226149508e-05,0.00023591733984573604,0.00023591733984573604,2.088065864161418e-09,0.3025297645229902
1.2000000000000002,18154.419628657404,1.3486037321845315e-05,0.00023598374169429533,0.00023598374169429533,2.1059459924894396e-09,0.2697207464369063
1.225,18380.152066482053,1.1836563731571257e-05,0.00023559188453257783,0.00023559188453257783,2.1216392071404537e-09,0.23673127463142513
1.25,18606.704210129807,1.0181100381387569e-05,0.0002347997191144938,0.0002347997191144938,2.1351375667397415e-09,0.20362200762775137
1.2750000000000001,18833.647139494635,8.52278147917835e-06,0.00023366387442183513,0.00023366387442183513,2.1464372853244253e-09,0.170455629583567
1.3,19060.534824927236,6.864866255803287e-06,0.00023223806235589595,0.00023223806235589595,2.1555388981020827e-09,0.13729732511606574
1.3250000000000002,19286.900648347535,5.2107643860385946e-06,0.00023057195955070815,0.00023057195955070815,2.1624474609130825e-09,0.10421528772077189
1.35,19512.253724315273,3.5640628712821386e-06,0.00022871052709319653,0.00022871052709319653,2.1671727853346925e-09,0.07128125742564277
1.375,19736.075084666216,1.9285539191991818e-06,0.00022669370279605638,0.00022669370279605638,2.1697297107487232e-09,0.03857107838398364
1.4000000000000001,19957.813832617485,3.0826304647264605e-07,0.00022455638797011865,0.00022455638797011865,2.1701384136685045e-09,0.0061652609294529205
