H_um,p_inlet_Pa,Nx,Ny,dt,n_passos,nm_membrana,np_rede,w_centro_max_m,w_centro_final_m,w_max_m,p_outlet_max_Pa,p_outlet_final_Pa,q_outlet_max_abs_m3s,q_outlet_final_m3s,volume_final_m3,potencia_max_abs_W,potencia_final_W,tempo_execucao_s
1000,5000.0,51,51,0.00625,1921,2601,224,6.198732880517474e-05,3.958518738425738e-05,6.198732880517474e-05,5847.321610153213,4994.949977644524,1.149500430023078e-05,3.690155737382303e-08,3.987094312091139e-10,0.0574750215011539,0.00018450778686911515,25.619252262000373
1000,5000.0,51,51,0.0125,961,2601,224,6.0938732077334393e-05,3.973480120662378e-05,6.0938732077334393e-05,5791.488441987584,4997.791917386603,1.1411407212219072e-05,1.6134916146709063e-08,3.981868780492188e-10,0.057057036061095356,8.067458073354531e-05,12.01028693399985
1000,5000.0,51,51,0.025,481,2601,224,5.9318116417174095e-05,3.979789711411715e-05,5.9318116417174095e-05,5706.001069391314,4999.134941483289,1.1242994583950029e-05,6.3211614201316845e-09,3.979380403309462e-10,0.056214972919750146,3.160580710065842e-05,5.581562709999162
1000,5000.0,51,51,0.05,241,2601,224,5.6920765291661724e-05,3.9797583590652446e-05,5.6920765291661724e-05,5586.096470768615,4999.633346071911,1.092031009118442e-05,2.6792160522634037e-09,3.978710521453791e-10,0.0546015504559221,1.3396080261317019e-05,2.9404646720004166
1000,5000.0,101,101,0.00625,1921,10201,224,6.156766276905527e-05,3.92693139384444e-05,6.156766276905527e-05,5848.400735195899,4998.764480058227,1.1406672296302966e-05,9.028199643159087e-09,3.930925592414207e-10,0.057033361481514826,4.5140998215795435e-05,105.33473268699981
1000,5000.0,101,101,0.0125,961,10201,224,6.058259105310219e-05,3.943027756677937e-05,6.058259105310219e-05,5791.632397561982,4998.936633996634,1.1323193242027386e-05,7.770235220665576e-09,3.925320750027603e-10,0.056615966210136925,3.8851176103327875e-05,51.09995067999989
1000,5000.0,101,101,0.025,481,10201,224,5.899593542357383e-05,3.950443009639714e-05,5.899593542357383e-05,5706.042251511405,4999.284967262161,1.1155358658885027e-05,5.224892037614841e-09,3.922647538568016e-10,0.055776793294425135,2.6124460188074207e-05,26.661231283000234
1000,5000.0,101,101,0.05,241,10201,224,5.663773501050535e-05,3.950579283610199e-05,5.663773501050535e-05,5585.086316983615,4999.638257934441,1.0834529428765178e-05,2.6433240622444084e-09,3.921864540463346e-10,0.05417264714382589,1.3216620311222042e-05,14.851228282000193
1000,10000.0,51,51,0.00625,1921,2601,224,0.00012397465761034948,7.917037476851475e-05,0.00012397465761034948,11694.643220306427,9989.899955289047,2.299000860046156e-05,7.380311474764606e-08,7.974188624182278e-10,0.2299000860046156,0.0007380311474764606,18.486526910000066
1000,10000.0,51,51,0.0125,961,2601,224,0.00012187746415466879,7.946960241324756e-05,0.00012187746415466879,11582.976883975169,9995.583834773206,2.2822814424438143e-05,3.2269832293418125e-08,7.963737560984376e-10,0.22822814424438143,0.00032269832293418125,9.487693840000247
1000,10000.0,51,51,0.025,481,2601,224,0.00011863623283434819,7.95957942282343e-05,0.00011863623283434819,11412.002138782627,9998.269882966579,2.2485989167900058e-05,1.2642322840263369e-08,7.958760806618924e-10,0.22485989167900058,0.00012642322840263369,5.033978800999648
1000,10000.0,51,51,0.05,241,2601,224,0.00011384153058332345,7.959516718130489e-05,0.00011384153058332345,11172.19294153723,9999.266692143821,2.184062018236884e-05,5.3584321045268074e-09,7.957421042907582e-10,0.2184062018236884,5.3584321045268075e-05,2.772013376999894
