t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,9846.895492558346,2.731363008125944e-06,1.918425711611273e-07,1.918425711611273e-07,3.6213099467398918e-12,0.02731363008125944
0.025,9703.028193619679,5.297935507973015e-06,5.722464021514088e-07,5.722464021514088e-07,1.0645446429196233e-11,0.05297935507973015
0.05,9569.007636325292,7.688843513498792e-06,1.1381302040338837e-06,1.1381302040338837e-06,2.0839509031465977e-11,0.07688843513498791
0.07500000000000001,9444.717288441692,9.906165943458493e-06,1.8866099411126516e-06,1.8866099411126516e-06,3.3973353620551106e-11,0.09906165943458493
0.1,9329.786564951233,1.195651398275798e-05,2.8149911190856213e-06,2.8149911190856213e-06,4.9825601339101e-11,0.1195651398275798
0.125,9223.809476245771,1.3847130429245339e-05,3.920760402630383e-06,3.920760402630383e-06,6.818447601377719e-11,0.13847130429245338
0.15000000000000002,9126.410447588873,1.558471548371439e-05,5.2015778463164504e-06,5.2015778463164504e-06,8.884708476639737e-11,0.15584715483714393
0.17500000000000002,9037.247087963367,1.717537735404135e-05,6.655269790797898e-06,6.655269790797898e-06,1.1161863313479831e-10,0.1717537735404135
0.2,8955.998924872467,1.8624833224767784e-05,8.279822201448064e-06,8.279822201448064e-06,1.3631190664423922e-10,0.18624833224767784
0.225,8882.35932153205,1.9938553453252074e-05,1.0073374285227479e-05,1.0073374285227479e-05,1.627469435576986e-10,0.19938553453252075
0.25,8816.032433924445,2.1121815855410123e-05,1.2034212309001002e-05,1.2034212309001002e-05,1.9075077959957492e-10,0.21121815855410123
0.275,8756.732800216083,2.217971303044288e-05,1.4160763565099483e-05,1.4160763565099483e-05,2.2015720239069578e-10,0.2217971303044288
0.30000000000000004,8704.185512968344,2.3117149288623075e-05,1.6451590373038876e-05,1.6451590373038876e-05,2.508065018101092e-10,0.23117149288623076
0.325,8658.126139473216,2.3938842072493803e-05,1.890538385294167e-05,1.890538385294167e-05,2.8254522224113583e-10,0.23938842072493802
0.35000000000000003,8618.300320862822,2.4649329108695422e-05,2.1520956902065527e-05,2.1520956902065527e-05,3.152259242994936e-10,0.24649329108695422
0.375,8584.463221044089,2.525297823890035e-05,2.4297235250326914e-05,2.4297235250326914e-05,3.487069595955238e-10,0.25252978238900353
0.4,8556.378970171198,2.5753997348183524e-05,2.7233244522431256e-05,2.7233244522431256e-05,3.8285225865970055e-10,0.25753997348183527
0.42500000000000004,8533.820161886832,2.6156443334165713e-05,3.0328089732788828e-05,3.0328089732788828e-05,4.1753113075965726e-10,0.26156443334165713
0.45,8516.567406025224,2.646423008673325e-05,3.358092145151768e-05,3.358092145151768e-05,4.5261807429692625e-10,0.2646423008673325
0.47500000000000003,8504.408918726524,2.6681135800337376e-05,3.699087997574668e-05,3.699087997574668e-05,4.879925968985094e-10,0.26681135800337374
0.5,8497.140133453186,2.6810809913408576e-05,4.0557005395733066e-05,4.0557005395733066e-05,5.235390447088995e-10,0.26810809913408573
0.525,8494.563323753597,2.6856779838200707e-05,4.4278097946245155e-05,4.4278097946245155e-05,5.59146440604698e-10,0.26856779838200706
0.55,8496.487234495306,2.682245753953898e-05,4.815251034547799e-05,4.815251034547799e-05,5.947083311315035e-10,0.2682245753953898
0.5750000000000001,8502.726721355077,2.671114596626571e-05,5.217785317039402e-05,5.217785317039402e-05,6.301226419677726e-10,0.2671114596626571
0.6000000000000001,8513.10239951763,2.6526045318406657e-05,5.635059712557707e-05,5.635059712557707e-05,6.652915416978482e-10,0.26526045318406655
0.625,8527.440302770277,2.6270259128875476e-05,6.066556365157386e-05,6.066556365157386e-05,7.001213136482651e-10,0.2627025912887548
0.65,8545.571553952746,2.59468001426009e-05,6.511530846501245e-05,6.511530846501245e-05,7.345222355187498e-10,0.259468001426009
0.675,8567.33204717664,2.5558595985690295e-05,6.968942109223769e-05,6.968942109223769e-05,7.684084665295415e-10,0.25558595985690297
0.7000000000000001,8592.562141463077,2.510849463088707e-05,7.437378564293192e-05,7.437378564293192e-05,8.016979418149532e-10,0.2510849463088707
0.7250000000000001,8621.106364619522,2.4599269680371932e-05,7.91498708879946e-05,7.91498708879946e-05,8.343122738210051e-10,0.24599269680371932
0.75,8652.813125464167,2.403362549963416e-05,8.399413688103995e-05,8.399413688103995e-05,8.661766605096724e-10,0.2403362549963416
0.775,8687.53443206041,2.341420224413358e-05,8.887765611871704e-05,8.887765611871704e-05,8.972198002276102e-10,0.2341420224413358
0.8,8725.125613498729,2.2743580822670188e-05,9.376604530674079e-05,9.376604530674079e-05,9.273738131554372e-10,0.22743580822670187
0.8250000000000001,8765.445042943558,2.202428783819073e-05,9.861978655075687e-05,9.861978655075687e-05,9.565741693076667e-10,0.2202428783819073
0.8500000000000001,8808.35386005373,2.1258800539768328e-05,0.00010339498415265392,0.00010339498415265392,9.847596230980962e-10,0.21258800539768327
0.875,8853.715691368327,2.044955181088011e-05,0.00010804455812124343,0.00010804455812124343,1.0118721545187818e-09,0.20449551810880112
0.9,8901.396367696208,1.9598935211137987e-05,0.00011251982379053036,0.00011251982379053036,1.0378569170034658e-09,0.19598935211137988
0.925,8951.263637852504,1.8709310083191742e-05,0.00011677235631124464,0.00011677235631124464,1.062662192061866e-09,0.1870931008319174
0.9500000000000001,9003.186878176824,1.7783006734880373e-05,0.00012075599749545756,0.00012075599749545756,1.086239350784591e-09,0.17783006734880372
0.9750000000000001,9057.036797118684,1.682233170939055e-05,0.00012442883768435875,0.00012442883768435875,1.108542822335365e-09,0.16822331709390548
