t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,19979.101427819758,1.4322545314605902e-06,2.43733182237417e-08,2.437331822374173e-08,4.747297929285679e-13,0.028645090629211806
0.00625,19958.400563145402,2.8509594541974044e-06,7.30794770356593e-08,7.307947703565937e-08,1.4196982755617943e-12,0.05701918908394809
0.0125,19937.947187569924,4.252703056177796e-06,1.4607832600492268e-07,1.460783260049228e-07,2.8292835112162042e-12,0.08505406112355592
0.018750000000000003,19917.771632217253,5.635406636387037e-06,2.433300787032336e-07,2.4333007870323377e-07,4.697174564653523e-12,0.11270813272774073
0.025,19897.88908612443,6.99802923497944e-06,3.6479533100719e-07,3.647953310071903e-07,7.0167154679327436e-12,0.1399605846995888
0.03125,19878.304499221624,8.3402316155989e-06,5.104350668981159e-07,5.104350668981164e-07,9.78113781108419e-12,0.166804632311978
0.037500000000000006,19859.01695377807,9.662076673789222e-06,6.802106571000705e-07,6.802106571000711e-07,1.2983694031262653e-11,0.19324153347578443
0.043750000000000004,19840.022930721338,1.0963805583933779e-05,8.740838545452248e-07,8.740838545452258e-07,1.661771650439258e-11,0.21927611167867558
0.05,19821.31836158397,1.2245697172917665e-05,1.0920167891718434e-06,1.0920167891718443e-06,2.067663002532712e-11,0.2449139434583533
0.05625,19802.899653765955,1.3507997654633457e-05,1.3339719633060414e-06,1.3339719633060422e-06,2.5153940998066167e-11,0.27015995309266916
0.0625,19784.76400383412,1.475089915847906e-05,1.5999122480091677e-06,1.5999122480091684e-06,3.0043219509109676e-11,0.2950179831695812
0.06875,19766.909313072723,1.5974545516972855e-05,1.8898008802871792e-06,1.8898008802871805e-06,3.533808331915249e-11,0.3194909103394571
0.07500000000000001,19749.333948481515,1.7179048645510623e-05,2.2036014608699072e-06,2.203601460869909e-06,4.103218728395286e-11,0.34358097291021245
0.08125,19732.03650029767,1.836450516022177e-05,2.5412779522640407e-06,2.541277952264043e-06,4.711921828329419e-11,0.36729010320443545
0.08750000000000001,19715.015606045126,1.953100843651443e-05,2.902794676865022e-06,2.9027946768650245e-06,5.359289414682748e-11,0.3906201687302886
0.09375,19698.26985524787,2.0678655139373518e-05,3.288116315011555e-06,3.2881163150115585e-06,6.044696474442236e-11,0.41357310278747034
0.1,19681.79775924191,2.1807547292308555e-05,3.6972079029459546e-06,3.697207902945958e-06,6.767521376228378e-11,0.4361509458461711
0.10625000000000001,19665.597760825385,2.291779161602731e-05,4.130034830692146e-06,4.130034830692149e-06,7.527146025986806e-11,0.4583558323205462
0.1125,19649.668260716335,2.4009497715128866e-05,4.586562839883661e-06,4.586562839883664e-06,8.322955962576675e-11,0.4801899543025773
0.11875000000000001,19634.007645015256,2.5082776195821113e-05,5.066758021575164e-06,5.066758021575166e-06,9.154340390969627e-11,0.5016555239164222
0.125,19618.614305564497,2.6137737271115653e-05,5.570586814062334e-06,5.570586814062338e-06,1.0020692169217045e-10,0.522754745422313
0.13125,19603.48665096487,2.7174490005172988e-05,6.098016000723571e-06,6.098016000723573e-06,1.0921407770370664e-10,0.5434898001034597
0.1375,19588.623109613865,2.819314210573856e-05,6.649012707887181e-06,6.649012707887184e-06,1.1855887237523337e-10,0.5638628421147712
0.14375000000000002,19574.022127546894,2.9193800071455996e-05,7.223544402721437e-06,7.2235444027214394e-06,1.2823534143732595e-10,0.5838760014291199
0.15000000000000002,19559.682164021895,3.01765694950552e-05,7.821578891142055e-06,7.82157889114206e-06,1.3823755561993562e-10,0.603531389901104
0.15625,19545.60168704194,3.114155536977843e-05,8.443084315731687e-06,8.443084315731689e-06,1.4855962045368563e-10,0.6228311073955686
0.1625,19531.77917013016,3.208886231057309e-05,9.088029153667395e-06,9.088029153667397e-06,1.5919567614448295e-10,0.6417772462114617
0.16875,19518.213090768615,3.3018594661116316e-05,9.756382214654303e-06,9.756382214654305e-06,1.7013989748360417e-10,0.6603718932223264
0.17500000000000002,19504.901930294447,3.393085650080266e-05,1.0448112638865207e-05,1.0448112638865209e-05,1.8138649376009724e-10,0.6786171300160532
0.18125000000000002,19491.844174719743,3.482575158874972e-05,1.1163189894887192e-05,1.1163189894887192e-05,1.929297086546237e-10,0.6965150317749944
0.1875,19479.038315853744,3.570338328665288e-05,1.1901583777676588e-05,1.1901583777676592e-05,2.047638201077306e-10,0.7140676657330576
0.19375,19466.482852247584,3.656385449424477e-05,1.2663264406523454e-05,1.2663264406523459e-05,2.1688314016672997e-10,0.7312770898848955
0.2,19454.176289669584,3.7407267616640094e-05,1.3448202223026104e-05,1.3448202223026113e-05,2.2928201482175472e-10,0.7481453523328019
0.20625000000000002,19442.11714105291,3.823372456783183e-05,1.4256367989075672e-05,1.4256367989075684e-05,2.419548238429731e-10,0.7646744913566367
0.21250000000000002,19430.30392602462,3.904332680315452e-05,1.5087732784850084e-05,1.5087732784850092e-05,2.548959806285636e-10,0.7808665360630903
0.21875,19418.735170199496,3.9836175367534014e-05,1.5942268006816573e-05,1.5942268006816586e-05,2.680999320686822e-10,0.7967235073506803
0.225,19407.409404448135,4.061237094568298e-05,1.6819945365741902e-05,1.6819945365741913e-05,2.8156115842606783e-10,0.8122474189136596
0.23125,19396.325164292914,4.1372013903588014e-05,1.7720736884709443e-05,1.772073688470945e-05,2.952741732303981e-10,0.8274402780717602
0.23750000000000002,19385.480989510477,4.211520431562983e-05,1.8644614897142738e-05,1.864461489714274e-05,3.0923352318163503e-10,0.8423040863125966
0.24375000000000002,19374.875423955742,4.284204197660401e-05,1.9591552044835232e-05,1.959155204483524e-05,3.2343378805735477e-10,0.8568408395320802
0.25,19364.50701556812,4.355262640150302e-05,2.0561521275986245e-05,2.056152127598625e-05,3.3786958062000494e-10,0.8710525280300604
0.25625000000000003,19354.37431648409,4.424705681767747e-05,2.1554495843243272e-05,2.1554495843243276e-05,3.525355465215641e-10,0.8849411363535493
0.2625,19344.475883193067,4.49254321540631e-05,2.2570449301750833e-05,2.2570449301750836e-05,3.6742636420463015e-10,0.898508643081262
0.26875,19334.810276686694,4.558785103108893e-05,2.3609355507206017e-05,2.3609355507206024e-05,3.825367448001638e-10,0.9117570206217787
0.275,19325.376062565952,4.623441175333384e-05,2.467118861392088e-05,2.4671188613920887e-05,3.978614320227982e-10,0.9246882350666767
0.28125,19316.171811097374,4.686521230554339e-05,2.5755923072891723e-05,2.575592307289174e-05,4.13395202064828e-10,0.9373042461108678
0.28750000000000003,19307.196097230502,4.748035035159814e-05,2.6863533629875338e-05,2.6863533629875348e-05,4.291328634898568e-10,0.9496070070319629
0.29375,19298.447500581355,4.8079923235544016e-05,2.7993995323472057e-05,2.7993995323472074e-05,4.450692571267858e-10,0.9615984647108803
0.30000000000000004,19289.924605400334,4.8664027983775474e-05,2.9147283483215764e-05,2.9147283483215777e-05,4.6119925596452626e-10,0.9732805596755095
0.30625,19281.626000534387,4.923276130772134e-05,3.0323373727670624e-05,3.0323373727670627e-05,4.775177650476021e-10,0.9846552261544268
0.3125,19273.550279383595,4.978621960672825e-05,3.152224196253458e-05,3.152224196253459e-05,4.940197213727084e-10,0.995724392134565
