t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,9961.780432982709,1.4138462801784523e-06,4.858078004536667e-08,4.858078004536672e-08,9.372565240027118e-13,0.014138462801784523
0.0125,9924.570708640766,2.7903357187732775e-06,1.4550022869320854e-07,1.4550022869320867e-07,2.7870052507511094e-12,0.027903357187732774
0.025,9888.475743003477,4.125587185040381e-06,2.9052197312439557e-07,2.9052197312439583e-07,5.521909008487084e-12,0.04125587185040381
0.037500000000000006,9853.512828973437,5.418960967209091e-06,4.834154563118202e-07,4.834154563118205e-07,9.114206552454673e-12,0.0541896096720909
0.05,9819.667363788005,6.67099726138766e-06,7.239558585461978e-07,7.239558585461983e-07,1.353649474070852e-11,0.0667099726138766
0.0625,9786.918716118946,7.882459276829025e-06,1.0119239896602326e-06,1.011923989660233e-06,1.8761876372339092e-11,0.07882459276829025
0.07500000000000001,9755.248143619747,9.054040344165976e-06,1.3471061905993616e-06,1.3471061905993624e-06,2.4763913864054415e-11,0.09054040344165976
0.08750000000000001,9724.639320276521,1.0186344407286492e-05,1.7292942468991532e-06,1.7292942468991543e-06,3.1516569994579985e-11,0.10186344407286492
0.1,9695.077181925855,1.1279928730793998e-05,2.1582853084244107e-06,2.158285308424412e-06,3.899417696037255e-11,0.11279928730793998
0.1125,9666.547081379085,1.233533515423608e-05,2.6338818112419428e-06,2.6338818112419445e-06,4.717142615015612e-11,0.1233533515423608
0.125,9639.034482048202,1.3353101425755477e-05,3.1558914001302405e-06,3.1558914001302418e-06,5.602336543267811e-11,0.13353101425755476
0.1375,9612.524938247183,1.4333761930759694e-05,3.7241268516292e-06,3.7241268516292004e-06,6.552539692750976e-11,0.14333761930759695
0.15000000000000002,9587.00414709872,1.527784577180213e-05,4.338405997882347e-06,4.338405997882349e-06,7.565327350297555e-11,0.15277845771802132
0.1625,9562.457984022549,1.618587545571842e-05,4.998551651443653e-06,4.998551651443654e-06,8.638309440376873e-11,0.16185875455718418
0.17500000000000002,9538.872511196141,1.705836658066782e-05,5.704391531088977e-06,5.70439153108898e-06,9.769130067110267e-11,0.17058366580667822
0.1875,9516.233971890251,1.789582804567838e-05,6.455758188603279e-06,6.455758188603281e-06,1.0955467070177228e-10,0.17895828045678377
0.2,9494.528781673134,1.8698762376021307e-05,7.252488936499474e-06,7.252488936499475e-06,1.219503160229103e-10,0.18698762376021308
0.21250000000000002,9473.743520788252,1.946766600518818e-05,8.094425776630603e-06,8.094425776630604e-06,1.3485567725366971e-10,0.19467666005188178
0.225,9453.864928085362,2.020302949938154e-05,8.981415329664606e-06,8.981415329664606e-06,1.4824852021572398e-10,0.20203029499381542
0.23750000000000002,9434.879895921811,2.0905337746132918e-05,9.913308765395746e-06,9.913308765395746e-06,1.621069321688043e-10,0.20905337746132918
0.25,9416.775465716253,2.1575070118803737e-05,1.088996173386998e-05,1.088996173386998e-05,1.7640931815528684e-10,0.21575070118803738
0.2625,9399.53882414026,2.2212700617444157e-05,1.1911234297304641e-05,1.1911234297304641e-05,1.911343974381569e-10,0.22212700617444156
0.275,9383.157299961495,2.2818697985584977e-05,1.2976990862786078e-05,1.2976990862786078e-05,2.062612000163959e-10,0.22818697985584976
0.28750000000000003,9367.61836142221,2.3393525807204205e-05,1.4087100115731436e-05,1.4087100115731436e-05,2.2176906320464896e-10,0.23393525807204205
0.30000000000000004,9352.909613941525,2.393764259173568e-05,1.5241434954102302e-05,1.5241434954102302e-05,2.3763762826924545e-10,0.2393764259173568
0.3125,9339.01879792716,2.4451501855022193e-05,1.643987242335835e-05,1.643987242335835e-05,2.5384683711788447e-10,0.24451501855022192
0.325,9325.933786552687,2.4935552201526273e-05,1.7682293652138522e-05,1.7682293652138522e-05,2.703769290438192e-10,0.24935552201526273
0.3375,9313.642583443474,2.5390237409945807e-05,1.896858378865575e-05,1.896858378865575e-05,2.872084375267964e-10,0.2539023740994581
0.35000000000000003,9302.133320273973,2.5815996522086925e-05,2.029863193778851e-05,2.029863193778851e-05,3.043221870929114e-10,0.25815996522086926
0.36250000000000004,9291.39425430882,2.6213263933846886e-05,2.167233109884678e-05,2.167233109884678e-05,3.2169929023477627e-10,0.26213263933846886
0.375,9281.413765915982,2.658246948717697e-05,2.3089578103978017e-05,2.3089578103978017e-05,3.393211443926519e-10,0.2658246948717697
0.3875,9272.180356071405,2.6924038562417262e-05,2.4550273557154116e-05,2.4550273557154116e-05,3.571694289967894e-10,0.26924038562417263
0.4,9263.682643853384,2.7238392170977234e-05,2.605432177362976e-05,2.605432177362976e-05,3.752261025712112e-10,0.2723839217097723
0.41250000000000003,9255.909363918341,2.7525947048719748e-05,2.7601630719662603e-05,2.7601630719662603e-05,3.934733998993971e-10,0.27525947048719746
0.42500000000000004,9248.849363944835,2.7787115750503058e-05,2.9192111952094148e-05,2.9192111952094148e-05,4.1189382925264357e-10,0.27787115750503055
0.4375,9242.49160203863,2.802230674618305e-05,3.0825680557032845e-05,3.0825680557032845e-05,4.3047016968206444e-10,0.2802230674618305
0.45,9236.825144098406,2.8231924518073345e-05,3.250225508623521e-05,3.250225508623521e-05,4.491854683751986e-10,0.2823192451807335
0.4625,9231.83916114993,2.8416369659522746e-05,3.422175748864538e-05,3.422175748864538e-05,4.680230380779663e-10,0.28416369659522744
0.47500000000000003,9227.522926669064,2.8576038973996582e-05,3.598411303261434e-05,3.598411303261434e-05,4.869664545823077e-10,0.2857603897399658
0.48750000000000004,9223.865813909391,2.8711325573900755e-05,3.778925021110179e-05,3.778925021110179e-05,5.059995542793326e-10,0.28711325573900753
0.5,9220.85729325837,2.882261897838522e-05,3.9637100616970004e-05,3.9637100616970004e-05,5.251064317773066e-10,0.28822618978385217
0.5125000000000001,9218.486929638782,2.8910305209489192e-05,4.1527598767337846e-05,4.1527598767337846e-05,5.442714375833715e-10,0.2891030520948919
0.525,9216.744379965841,2.8974766886201932e-05,4.3460681843560075e-05,4.3460681843560075e-05,5.63479175847621e-10,0.2897476688620193
0.5375,9215.61939066524,2.9016383316265855e-05,4.543628929505046e-05,4.543628929505046e-05,5.827145021680333e-10,0.29016383316265854
0.55,9215.10179525098,2.9035530585797333e-05,4.745436222882915e-05,4.745436222882915e-05,6.019625214548146e-10,0.2903553058579733
0.5625,9215.181511953671,2.903258164701205e-05,4.9514842470017204e-05,4.9514842470017204e-05,6.212085858528968e-10,0.2903258164701205
0.5750000000000001,9215.848541388417,2.900790640449485e-05,5.1617671129108725e-05,5.1617671129108725e-05,6.404382927216246e-10,0.29007906404494854
0.5875,9217.092964248022,2.896187180053883e-05,5.376278644754864e-05,5.376278644754864e-05,6.596374826710151e-10,0.2896187180053883
0.6000000000000001,9218.90493900668,2.8894841900092733e-05,5.595012061249629e-05,5.595012061249629e-05,6.787922376543295e-10,0.2889484190009273
0.6125,9221.274699620824,2.8807177975807534e-05,5.817959513462311e-05,5.817959513462311e-05,6.978888791170245e-10,0.28807177975807535
