t_adimensional,p_outlet_Pa,q_outlet_m3s,w_centro_m,w_max_m,volume_acumulado_m3,potencia_W
0.0,9634.280606110313,2.672387218623564e-06,1.87700292357199e-07,1.87700292357199e-07,3.5431183579593356e-12,0.02672387218623564
0.025,9298.046265383713,5.12932105815458e-06,5.56082096325249e-07,5.56082096325249e-07,1.034370155127945e-11,0.0512932105815458
0.05,8991.646867907499,7.368244799389686e-06,1.0987253949355146e-06,1.0987253949355146e-06,2.0112706294575e-11,0.07368244799389687
0.07500000000000001,8713.737814081253,9.398983709585978e-06,1.809781245599529e-06,1.809781245599529e-06,3.257411588953151e-11,0.09398983709585977
0.1,8462.454991616625,1.1235159242614856e-05,2.6839340383293445e-06,2.6839340383293445e-06,4.746997330483841e-11,0.11235159242614856
0.125,8235.946011265527,1.2890307189667507e-05,3.7163640764454235e-06,3.7163640764454235e-06,6.456026760244767e-11,0.12890307189667508
0.15000000000000002,8032.5213496149845,1.4376773247609073e-05,4.902713423507319e-06,4.902713423507319e-06,8.36213560805084e-11,0.14376773247609073
0.17500000000000002,7850.6518938487925,1.5705730959909937e-05,6.239054960039578e-06,6.239054960039578e-06,1.0444441020284056e-10,0.15705730959909936
0.2,7688.934063939922,1.6887436575998964e-05,7.721863960883793e-06,7.721863960883793e-06,1.2683419942736544e-10,0.16887436575998965
0.225,7546.064074340388,1.793141712641532e-05,9.347991679977365e-06,9.347991679977365e-06,1.5060812438931456e-10,0.1793141712641532
0.25,7420.8252270628545,1.8846563274887208e-05,1.1114640673698986e-05,1.1114640673698986e-05,1.7559537319006597e-10,0.18846563274887207
0.275,7312.08202126661,1.9641172360808095e-05,1.3019341699440819e-05,1.3019341699440819e-05,2.0163613475278072e-10,0.19641172360808096
0.30000000000000004,7218.775985273504,2.0322978855553853e-05,1.5059931994001078e-05,1.5059931994001078e-05,2.285808525577925e-10,0.20322978855553853
0.325,7139.921200605255,2.0899187069270828e-05,1.7234534587495034e-05,1.7234534587495034e-05,2.562895217414818e-10,0.20899187069270828
0.35000000000000003,7074.599363190557,2.1376507239654407e-05,1.9541538013130535e-05,1.9541538013130535e-05,2.846310340425623e-10,0.21376507239654408
0.375,7021.954794055093,2.1761191989870495e-05,2.1979575242139903e-05,2.1979575242139903e-05,3.1348257108519945e-10,0.21761191989870496
0.4,6981.189731996274,2.2059070725952218e-05,2.454749977156532e-05,2.454749977156532e-05,3.4272904326706406e-10,0.22059070725952218
0.42500000000000004,6951.560026998865,2.2275581105903613e-05,2.7244355367912792e-05,2.7244355367912792e-05,3.722625703699179e-10,0.22275581105903614
0.45,6932.371214290007,2.2415797727391364e-05,3.0069333899335735e-05,3.0069333899335735e-05,4.019820002050637e-10,0.22415797727391365
0.47500000000000003,6922.974904394029,2.2484458506359423e-05,3.302171295454338e-05,3.302171295454338e-05,4.31792462232228e-10,0.22484458506359423
0.5,6922.765431527625,2.2485989167900058e-05,3.610076173066155e-05,3.610076173066155e-05,4.616049536490581e-10,0.22485989167900058
0.525,6931.1767228085455,2.2424526123591028e-05,3.9305600456957e-05,3.9305600456957e-05,4.913359558119695e-10,0.22424526123591026
0.55,6947.679366474558,2.2303937894628192e-05,4.263499624926371e-05,4.263499624926371e-05,5.209070790603231e-10,0.22303937894628192
0.5750000000000001,6971.7778657333365,2.2127845178509715e-05,4.6087077937617014e-05,4.6087077937617014e-05,5.502447341455173e-10,0.22127845178509714
0.6000000000000001,7003.008068464119,2.1899639630739408e-05,4.965895542937621e-05,4.965895542937621e-05,5.792798285613377e-10,0.21899639630739406
0.625,7040.934764248914,2.1622501423815498e-05,5.334623678452121e-05,5.334623678452121e-05,6.079474861544546e-10,0.216225014238155
0.65,7085.149440322574,2.129941564496704e-05,5.714244906063468e-05,5.714244906063468e-05,6.361867884754553e-10,0.2129941564496704
0.675,7135.268187382513,2.0933187598836115e-05,6.103838680758682e-05,6.103838680758682e-05,6.639405364185562e-10,0.20933187598836114
0.7000000000000001,7190.929745050866,2.0526457089689246e-05,6.502143320109209e-05,6.502143320109209e-05,6.911550307970324e-10,0.20526457089689246
0.7250000000000001,7251.7936755160745,2.0081711766996314e-05,6.90749201424691e-05,6.90749201424691e-05,7.177798706125514e-10,0.20081711766996313
0.75,7317.53865292402,1.9601299625203572e-05,7.317761105943247e-05,7.317761105943247e-05,7.437677678970216e-10,0.19601299625203572
0.775,7387.860855762619,1.9087440750910204e-05,7.730339905369296e-05,7.730339905369296e-05,7.690743781291436e-10,0.19087440750910203
0.8,7462.472449906982,1.8542238407572915e-05,8.142130947626932e-05,8.142130947626932e-05,7.93658145347342e-10,0.18542238407572917
0.8250000000000001,7541.100151075415,1.7967689539935407e-05,8.549587765383121e-05,8.549587765383121e-05,8.17480161189735e-10,0.17967689539935405
0.8500000000000001,7623.483856963307,1.7365694769310267e-05,8.948793955986084e-05,8.948793955986084e-05,8.405040371861007e-10,0.17365694769310266
0.875,7709.375340963655,1.6738067938832767e-05,9.335582888205447e-05,9.335582888205447e-05,8.626957897051815e-10,0.16738067938832768
0.9,7798.537000858015,1.608654525703341e-05,9.705692402811943e-05,9.705692402811943e-05,8.840237370247677e-10,0.1608654525703341
0.925,7890.740656930034,1.54127940802727e-05,0.00010054944074992628,0.00010054944074992628,9.044584080457541e-10,0.154127940802727
0.9500000000000001,7985.7663944691285,1.4718421370805576e-05,0.00010379432821495394,0.00010379432821495394,9.239724622201122e-10,0.14718421370805576
0.9750000000000001,8083.4014455533,1.4004981867825172e-05,0.00010675710522710975,0.00010675710522710975,9.425406203122381e-10,0.14004981867825173
1.0,8183.439104364708,1.3273986013475366e-05,0.0001094094729543071,0.0001094094729543071,9.601396056688077e-10,0.13273986013475367
1.0250000000000001,8285.677669201898,1.2526907683787694e-05,0.00011173056149489336,0.00011173056149489336,9.76748095738503e-10,0.12526907683787694
1.05,8389.919402936539,1.1765191784838798e-05,0.00011370770680483572,0.00011370770680483572,9.92346683662915e-10,0.11765191784838798
1.075,8495.969502059193,1.099026178614541e-05,0.00011533670580907385,0.00011533670580907385,1.0069178498554128e-09,0.10990261786145411
1.1,8603.635062796808,1.0203527275456521e-05,0.00011662155306749582,0.00011662155306749582,1.020445943596345e-09,0.10203527275456521
1.125,8712.72403119321,9.406391630734469e-06,0.00011757371405611177,0.00011757371405611177,1.0329171747999488e-09,0.09406391630734469
1.1500000000000001,8823.04412265813,8.600259915233517e-06,0.0001182110310827617,0.0001182110310827617,1.0443196162487522e-09,0.08600259915233517
1.175,8934.40169548187,7.786547108958475e-06,0.00011855638353243375,0.00011855638353243375,1.0546432167414517e-09,0.07786547108958475
1.2000000000000002,9046.600562400965,6.966686792802827e-06,0.00011863623283434819,0.00011863623283434819,1.0638798257544398e-09,0.06966686792802827
1.225,9159.440724774373,6.142140398183172e-06,0.0001184791753508615,0.0001184791753508615,1.0720232303667306e-09,0.06142140398183172
1.25,9272.717015672382,5.314407122270522e-06,0.00011811460660336007,0.00011811460660336007,1.0790692053307498e-09,0.053144071222705216
1.2750000000000001,9386.217641633712,4.485034583672401e-06,0.00011757157248361878,0.00011757157248361878,1.0850155772706952e-09,0.04485034583672401
1.3,9499.722618519363,3.6556302519706027e-06,0.00011687785229865525,0.00011687785229865525,1.0898623040344685e-09,0.03655630251970603
1.3250000000000002,9613.002105288639,2.8278736231658543e-06,0.00011605928909154971,0.00011605928909154971,1.0936115701881169e-09,0.028278736231658542
1.35,9725.81465107962,2.003529028623757e-06,0.00011513935798474929,0.00011513935798474929,1.0962678994926994e-09,0.02003529028623757
