malha_termica,metodo_quadratura,nsub,T_aresta_min,T_aresta_media,T_aresta_max,pressao_max,pressao_min,potencia_total
61x31,ponto_medio,1,11.264400849601795,44.02314438951209,62.11083567124949,2606.543826461398,0.0,0.0027771942388481493
61x31,ponto_medio,10,11.242566965815838,43.94081476123034,61.82224224549543,2634.3902080826247,0.0,0.002807947173521171
61x31,ponto_medio,100,11.242281807309434,43.93989711519068,61.81989248490949,2634.7787728791313,0.0,0.0028083757985284787
61x31,ponto_medio,1000,11.242281586358244,43.93989125620792,61.81987470732947,2634.7846117037757,0.0,0.0028083822559524145
61x31,trapezio,1,11.194992701940123,43.770415791588306,61.33949926380073,2700.7865463656467,0.0,0.0028812689715948334
61x31,trapezio,10,11.241740037506679,43.93813766601232,61.81541500970074,2635.483782891182,0.0,0.002809153684990062
61x31,trapezio,100,11.242279240994646,43.93987851093225,61.81983787865455,2634.79068691387,0.0,0.002808388958042191
61x31,trapezio,1000,11.242281544692018,43.93989108266567,61.819874074307606,2634.7846181959612,0.0,0.0028083822626887894
241x121,ponto_medio,1,11.314600455477951,43.992938109566566,61.98380098227368,2614.0190432785444,0.0,0.0027855214611044806
241x121,ponto_medio,10,11.292036291246657,43.912796558220585,61.73341622799393,2639.3952045034102,0.0,0.002813568722415472
241x121,ponto_medio,100,11.291802625854451,43.91197618656921,61.73090653621148,2639.8357462254044,0.0,0.002814054532210855
241x121,ponto_medio,1000,11.291800503357374,43.911968298144544,61.73088222440641,2639.8392449087173,0.0,0.0028140583963385596
241x121,trapezio,1,11.2452937180922,43.74876865652541,61.225880189402886,2702.8480044575276,0.0,0.0028836671840649503
241x121,trapezio,10,11.291318385497982,43.91030807565966,61.72588700963614,2640.732000658921,0.0,0.0028150431440762563
241x121,trapezio,100,11.291795779655704,43.9119515734809,61.73083194212137,2639.847047291513,0.0,0.0028140670078440973
241x121,trapezio,1000,11.291800432507051,43.91196806279774,61.73088150212434,2639.839376059974,0.0,0.0028140585410430874
